Fecha,Hora,Precio
2021-09-09,09,"218,87"
2021-09-09,10,"212,78"
2021-09-09,11,"303,83"
2021-09-09,12,"303,53"
2021-09-09,13,"303,91"
2021-09-09,14,"305,41"
2021-09-09,15,"207,81"
2021-09-09,16,"205,27"
2021-09-09,17,"202,88"
2021-09-09,18,"210,23"
2021-09-09,19,"309,65"
2021-09-09,20,"319,46"
2021-09-09,21,"321,38"
2021-09-09,22,"320,14"
2021-09-09,23,"223,85"
2021-09-09,24,"218,09"
2021-09-10,01,"192,44"
2021-09-10,02,"190,27"
2021-09-10,03,"187,85"
2021-09-10,04,"186,58"
2021-09-10,05,"184,64"
2021-09-10,06,"186,56"
2021-09-10,07,"188,07"
2021-09-10,08,"193,78"
2021-09-10,09,"231,03"
2021-09-10,10,"225,94"
2021-09-10,11,"315,19"
2021-09-10,12,"311,75"
2021-09-10,13,"311,67"
2021-09-10,14,"311,20"
2021-09-10,15,"218,25"
2021-09-10,16,"216,33"
